,ARI,NMI,Jaccard,cov,n,type
5,0.9159393636156118,0.9038344644507268,0.0,tied,9,pca
6,0.9428488296755962,0.9326958889338482,0.030864671531293873,tied,9,pca
7,0.9942835928285122,0.9873438356100414,0.0015472652008686211,tied,9,pca
8,0.9136917125473191,0.9017460553392564,0.04192470819684,tied,9,pca
9,0.9996794368811373,0.998821139311613,0.000868421052631579,tied,9,pca
0,0.9222708778258556,0.8937151549916403,0.0008737676102184838,tied,10,pca
1,0.916749914589882,0.8884456839068553,0.0014160329985652797,tied,10,pca
2,0.7561426808270888,0.7739029527543824,0.0003026473369051371,tied,10,pca
3,0.8543102385521482,0.841667121412032,0.3521856092509366,tied,10,pca
4,0.9688479877858341,0.9514731002005595,0.0012,tied,10,pca
5,0.8549653283446079,0.8420266102535003,0.0012,tied,10,pca
6,0.7903595981612584,0.7787676836013153,0.28436182255904396,tied,10,pca
7,0.9692354664145598,0.9519917622416793,0.0028834358518018137,tied,10,pca
8,0.8933544120108617,0.863625451856287,0.00039991866311742087,tied,10,pca
9,0.7558197983140499,0.7736218974940519,0.28396114604940614,tied,10,pca
0,0.7965539683560471,0.7978521920863594,0.20419183036336588,tied,11,pca
1,0.880616475630033,0.873303322823469,0.0012734864894490567,tied,11,pca
2,0.7739130021403302,0.7707349602392313,0.0006105452999169259,tied,11,pca
3,0.9196346062178641,0.9036078660233592,0.3301470661422998,tied,11,pca
4,0.9081595776728372,0.8988334500811364,0.0004226609801593554,tied,11,pca
5,0.8077400686523549,0.8516660437942063,0.001581035840882237,tied,11,pca
6,0.8804572879443149,0.8731430059182049,0.00114154466686585,tied,11,pca
7,0.9540112349256356,0.9404156745111745,0.3564198000357079,tied,11,pca
8,0.8804572879443149,0.8731430059182049,0.03617731903485255,tied,11,pca
9,0.9342648735543743,0.9280767434768357,0.0018973704968275554,tied,11,pca
0,0.9133443868754852,0.91143752430931,8.663380475890324e-05,tied,12,pca
1,0.9136031614713307,0.9113968609893098,0.3691539919504403,tied,12,pca
2,0.8724159868107071,0.8626230804549371,0.036477378877103124,tied,12,pca
3,0.7867773224529676,0.8490993212398228,2.633451957295374e-06,tied,12,pca
4,0.9757184246471352,0.965163931538411,0.0,tied,12,pca
5,0.9096878827366915,0.9021830042624592,0.06665189669744208,tied,12,pca
6,0.838920120794278,0.8371701563094179,0.0019236256626702542,tied,12,pca
7,0.9136607413089479,0.9123151695037474,0.0010980820256254141,tied,12,pca
8,0.9928154912667544,0.9861997326892414,0.0004375,tied,12,pca
9,0.9221410814491151,0.919140617121079,0.34494638051668464,tied,12,pca
0,1.0,1.0,1.0,spherical,2,nonpca
1,1.0,1.0,0.0,spherical,2,nonpca
2,1.0,1.0,1.0,spherical,2,nonpca
3,1.0,1.0,1.0,spherical,2,nonpca
4,1.0,1.0,0.0,spherical,2,nonpca
5,1.0,1.0,1.0,spherical,2,nonpca
6,1.0,1.0,0.0,spherical,2,nonpca
7,1.0,1.0,1.0,spherical,2,nonpca
8,1.0,1.0,1.0,spherical,2,nonpca
9,1.0,1.0,0.0,spherical,2,nonpca
0,0.9994118389754726,0.998170786128523,0.0,spherical,3,nonpca
1,0.9990198350335562,0.9971234489203057,0.62315,spherical,3,nonpca
2,0.9990198350335562,0.9971234489203057,0.62315,spherical,3,nonpca
3,0.9974526464455992,0.9933585243453004,0.62275,spherical,3,nonpca
4,1.0,1.0,0.0206,spherical,3,nonpca
5,0.997061056074525,0.9924815678498399,0.62265,spherical,3,nonpca
6,0.997061056074525,0.9924815678498399,0.62265,spherical,3,nonpca
7,0.9974526464455992,0.9933585243453004,0.0004137328976924648,spherical,3,nonpca
8,0.9994118389754726,0.9981707861285231,9.547682254441495e-05,spherical,3,nonpca
9,0.9994118389754726,0.998170786128523,0.9997000631756282,spherical,3,nonpca
0,0.9799298312765671,0.9649508355893675,0.5245567781751946,spherical,4,nonpca
1,0.9991158032177583,0.997440506957398,0.2024999973503836,spherical,4,nonpca
2,0.9973752015565343,0.9938149695839368,0.46736830906528887,spherical,4,nonpca
